date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export
2019-04-27 00:00:00+00:00,2019,4,27,port1282,Tema,Ghana,GHA,3,1,0,0,0,4,4,12136,28297,0,0,0,40434,40434,0,0,0,0,0,0,0
2019-04-28 00:00:00+00:00,2019,4,28,port1282,Tema,Ghana,GHA,1,1,2,0,1,4,5,1277,28647,4349,0,19907,34274,54182,0,0,0,0,0,0,0
2019-04-29 00:00:00+00:00,2019,4,29,port1282,Tema,Ghana,GHA,1,1,1,0,0,3,3,8207,5710,916,0,0,14833,14833,1440,0,0,0,0,1440,1440
2019-04-30 00:00:00+00:00,2019,4,30,port1282,Tema,Ghana,GHA,1,1,0,0,0,2,2,15550,20068,0,0,0,35618,35618,0,0,0,0,0,0,0
2019-05-01 00:00:00+00:00,2019,5,1,port1282,Tema,Ghana,GHA,1,0,1,0,1,2,3,9285,0,0,0,4085,9285,13371,0,0,0,0,1903,0,1903
2019-05-02 00:00:00+00:00,2019,5,2,port1282,Tema,Ghana,GHA,1,0,0,1,0,2,2,8207,0,0,2167,0,10374,10374,1440,0,0,0,0,1440,1440
2019-05-03 00:00:00+00:00,2019,5,3,port1282,Tema,Ghana,GHA,1,2,1,0,0,4,4,9573,22443,865,0,0,32882,32882,0,0,0,0,0,0,0
2019-05-04 00:00:00+00:00,2019,5,4,port1282,Tema,Ghana,GHA,1,0,0,0,2,1,3,9702,0,0,0,1311,9702,11014,0,0,0,0,0,0,0
2019-05-05 00:00:00+00:00,2019,5,5,port1282,Tema,Ghana,GHA,2,1,0,0,0,3,3,16382,0,0,0,0,16382,16382,0,0,0,0,0,0,0
2019-05-06 00:00:00+00:00,2019,5,6,port1282,Tema,Ghana,GHA,1,1,0,0,0,2,2,8794,31109,0,0,0,39903,39903,0,0,0,0,0,0,0
2019-05-07 00:00:00+00:00,2019,5,7,port1282,Tema,Ghana,GHA,1,1,0,0,1,2,3,0,39773,0,0,497,39773,40271,6076,0,0,0,0,6076,6076
2019-05-08 00:00:00+00:00,2019,5,8,port1282,Tema,Ghana,GHA,2,2,1,0,0,5,5,8207,0,2084,0,0,10292,10292,1440,0,775,0,0,2215,2215
2019-05-09 00:00:00+00:00,2019,5,9,port1282,Tema,Ghana,GHA,1,2,0,0,0,3,3,0,577,0,0,0,577,577,0,0,0,0,0,0,0
2019-05-10 00:00:00+00:00,2019,5,10,port1282,Tema,Ghana,GHA,2,1,0,1,1,4,5,6435,20399,0,585,0,27420,27420,0,789,0,0,0,789,789
2019-05-11 00:00:00+00:00,2019,5,11,port1282,Tema,Ghana,GHA,3,1,0,0,1,4,5,25988,5043,0,0,0,31031,31031,1440,0,0,0,0,1440,1440
2019-05-12 00:00:00+00:00,2019,5,12,port1282,Tema,Ghana,GHA,0,2,0,0,0,2,2,0,31652,0,0,0,31652,31652,0,0,0,0,0,0,0
2019-05-13 00:00:00+00:00,2019,5,13,port1282,Tema,Ghana,GHA,1,0,0,0,3,1,4,9604,0,0,0,13145,9604,22750,0,0,0,0,1517,0,1517
2019-05-14 00:00:00+00:00,2019,5,14,port1282,Tema,Ghana,GHA,1,1,0,1,1,3,4,0,20399,0,2554,2481,22953,25435,738,789,0,0,0,1527,1527
2019-05-15 00:00:00+00:00,2019,5,15,port1282,Tema,Ghana,GHA,1,2,1,0,1,4,5,0,11577,0,0,0,11577,11577,0,0,3341,0,0,3341,3341
2019-05-16 00:00:00+00:00,2019,5,16,port1282,Tema,Ghana,GHA,1,0,0,0,2,1,3,5147,0,0,0,33292,5147,38440,0,0,0,0,0,0,0
2019-05-17 00:00:00+00:00,2019,5,17,port1282,Tema,Ghana,GHA,0,0,1,2,0,3,3,0,0,2277,3866,0,6144,6144,0,0,0,0,0,0,0
2019-05-18 00:00:00+00:00,2019,5,18,port1282,Tema,Ghana,GHA,3,1,1,0,1,5,6,8207,30551,0,0,10956,38759,49715,5810,0,1128,0,0,6939,6939
2019-05-19 00:00:00+00:00,2019,5,19,port1282,Tema,Ghana,GHA,2,0,0,0,1,2,3,8269,0,0,0,4785,8269,13055,0,0,0,0,0,0,0
2019-05-20 00:00:00+00:00,2019,5,20,port1282,Tema,Ghana,GHA,1,0,0,0,0,1,1,16571,0,0,0,0,16571,16571,0,0,0,0,0,0,0
2019-05-21 00:00:00+00:00,2019,5,21,port1282,Tema,Ghana,GHA,2,1,2,0,2,5,7,13377,1234,7846,0,10789,22458,33248,1440,0,775,0,0,2215,2215
2019-05-22 00:00:00+00:00,2019,5,22,port1282,Tema,Ghana,GHA,0,2,0,0,0,2,2,0,18937,0,0,0,18937,18937,0,0,0,0,0,0,0
2019-05-23 00:00:00+00:00,2019,5,23,port1282,Tema,Ghana,GHA,2,1,0,0,2,3,5,954,12601,0,0,6155,13556,19712,1898,0,0,0,3183,1898,5082
2019-05-24 00:00:00+00:00,2019,5,24,port1282,Tema,Ghana,GHA,1,0,1,0,0,2,2,7047,0,156,0,0,7203,7203,0,0,0,0,0,0,0
2019-05-25 00:00:00+00:00,2019,5,25,port1282,Tema,Ghana,GHA,2,1,0,1,1,4,5,8701,21858,0,2037,4085,32598,36683,0,0,0,0,1903,0,1903
2019-05-26 00:00:00+00:00,2019,5,26,port1282,Tema,Ghana,GHA,1,2,0,1,1,4,5,9767,6577,0,0,17210,16344,33555,0,0,0,0,0,0,0
2019-05-27 00:00:00+00:00,2019,5,27,port1282,Tema,Ghana,GHA,0,1,0,0,0,1,1,0,2886,0,0,0,2886,2886,0,0,0,0,0,0,0
2019-05-28 00:00:00+00:00,2019,5,28,port1282,Tema,Ghana,GHA,2,0,0,0,0,2,2,5087,0,0,0,0,5087,5087,1745,0,0,0,0,1745,1745
